SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$399.99,"Wine House","2006Chateau Angelus StEmilion750ml","USA (CA)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$409.00,IronGate.Wine,2006Angelus-750mL,"USA (NY)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$409.99,"Remedy Wine & Spirits",CHATEAUANGELUSREDWINEPREMIERGRANDCRUCLASSESAINEMILIONFRANCE2006,"USA (CA)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$435.00,"Sokolin & Co.",2006L'Angelus,"USA (NY)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$599.88,"Pogo's Liquor Inc.","Chateau Angelus-Saint-Emilion2006","USA (TX)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$4656.99,"Flickinger Wines","2006Ch.L'Angelus St.Emilion","USA (IL)"
11355,"Ch Angelus",2006,750ml,https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u,$4675.00,"Westgarth Wines",2006Angelus,"USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$259.99,"Hi-Time Wine Cellars",ANGELUS2014STEMILION,"USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$279.99,Wine.com,"2014Chateau Angelus","USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$297.00,"The Redd Collection","2014Ch Angelus","USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$335.00,Vinfolio,2014Angelus750ML,"USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$339.98,"Wine Exchange","Angelus Saint Emilion2014Pre-Arrival","USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$349.95,"Gil Turner's Fine Wines and Spirits","2014Chateau Angelus St.Emilion(750ML)","USA (CA)"
11356,"Ch Angelus",2014,750ml,https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u,$450.00,"Pogo's Liquor Inc.","Chateau Angelus-Saint-Emilion2014","USA (TX)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$383.00,"Westgarth Wines",2015Angelus,"USA (CA)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$385.00,"European Wine Resource",2015Angelus,"USA (CA)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$392.00,"The Redd Collection","2015Ch Angelus","USA (CA)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$399.95,"K&L Wine Merchants","2015Angelus St-Emilion","USA (CA)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$399.98,"Wine Exchange","Angelus Saint Emilion2015Pre-Arrival","USA (CA)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$399.99,"America's Wine Shop","Chateau Angelus-St.-Emilion2015","USA (NY)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$399.99,"WineDeals.com Premier Wine & Spirits","Chateau Angelus Saint-Emilion Premier Grand Cru ClasseA2015/750ml.","USA (NY)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$399.99,"Applejack Wine & Spirits","2015Chateau Angelus750ml","USA (CO)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$475.00,"Pogo's Liquor Inc.","Chateau Angelus-Angelus Grand Cru Classe2015","USA (TX)"
11357,"Ch Angelus",2015,750ml,https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u,$490.00,Vinfolio,2015Angelus750ML,"USA (CA)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$499.00,"Sokolin & Co.","1990Beausejour Duffau","USA (NY)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$650.00,"MacArthur Beverages","1990Chateau Beausejour Duffau-St.Emilion","USA (DC)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$675.00,"No Limit Fine Wines","1990Beausejour Duffau Bordeaux","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$675.00,"Estate Wine Brokers","Beausejour Duffau Lagarrosse St.Emilion1990750ml","USA (TX)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$695.00,Cellaraiders,"1990Beausejour Duffau","USA (NY)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$799.00,"Acker Merrall & Condit New York Retail","1990Beausejour Duffau","USA (NY)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$819.00,IronGate.Wine,"1990Beausejour Duffau-750mL","USA (NY)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$999.99,"DOB Wines/Duke of Bourbon","Chateau Beausejour1990Bordeaux Saint-Emilion","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$1250.00,"Grand Vin Wine Merchants US","Beausejour Duffau Lagarrosse1990(750ML)Saint Emilion","USA (WA)"
11358,"Ch Beausejour-Duffau",1990,750ml,https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u,$1259.00,"The Redd Collection","1990Ch Beausejour-Duffau","USA (CA)"
11359,"Ch Beychevelle",1995,750ml,https://www.wine-searcher.com/find/ch+beychevelle/1995/-/-/u,$119.00,IronGate.Wine,1995Beychevelle-750mL,"USA (NY)"
